"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"FRCDAMaterialPharm.ingredient.ingredient.modifierExtension","FRCDAMaterialPharm.ingredient.ingredient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"FRCDAMaterialPharm.ingredient.ingredient.classCode","FRCDAMaterialPharm.ingredient.ingredient.classCode","","","",1,1,"","","","code {[]} {[]}
","Classe de la substance","Code indiquant que la substance est un matériau pharmaceutique.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""MMAT""/>","","","",,,,,"",,,,"FRCDAMaterialPharm.ingredient.ingredient.classCode",1,1,"",""
"FRCDAMaterialPharm.ingredient.ingredient.determinerCode","FRCDAMaterialPharm.ingredient.ingredient.determinerCode","","","",1,1,"","","","code {[]} {[]}
","Déterminant de la substance","Code indiquant que l'élément représente un type de substance.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""KIND""/>","","","",,,,,"",,,,"FRCDAMaterialPharm.ingredient.ingredient.determinerCode",1,1,"",""
"FRCDAMaterialPharm.ingredient.ingredient.code","FRCDAMaterialPharm.ingredient.ingredient.code","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CE {[]} {[]}
","Code de la substance","Code identifiant la substance active.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.ingredient.ingredient.code",0,1,"",""
"FRCDAMaterialPharm.ingredient.ingredient.code.nullFlavor","FRCDAMaterialPharm.ingredient.ingredient.code.nullFlavor","","","Exceptional Value Detail",0,1,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple|2.0.3-sd]]} {[]}
","","If a value is an exceptional value (NULL-value), this specifies in what way and why proper information is missing.","","","","","","","","","",,"required","","http://hl7.org/cda/stds/core/ValueSet/CDANullFlavor|2.0.3-sd","",,,,"ANY.nullFlavor",0,1,"",""
"FRCDAMaterialPharm.ingredient.ingredient.code.code","FRCDAMaterialPharm.ingredient.ingredient.code.code","","","Code",0,1,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple|2.0.3-sd]]} {[]}
","","The plain code symbol defined by the code system. For example, ""784.0"" is the code symbol of the ICD-9 code ""784.0"" for headache.","","","","","","","","","",,,,,"",,,,"CD.code",0,1,"",""
"FRCDAMaterialPharm.ingredient.ingredient.code.codeSystem","FRCDAMaterialPharm.ingredient.ingredient.code.codeSystem","","","Code System",0,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/oid|2.0.3-sd], CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/uuid|2.0.3-sd], CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/ruid|2.0.3-sd]]} {[]}
","","Specifies the code system that defines the code.","","","","","","","","","",,,,,"",,,,"CD.codeSystem",0,1,"",""
"FRCDAMaterialPharm.ingredient.ingredient.code.codeSystemName","FRCDAMaterialPharm.ingredient.ingredient.code.codeSystemName","","","Code System Name",0,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/st-simple|2.0.3-sd]]} {[]}
","","The common name of the coding system.","","","","","","","","","",,,,,"",,,,"CD.codeSystemName",0,1,"",""
"FRCDAMaterialPharm.ingredient.ingredient.code.codeSystemVersion","FRCDAMaterialPharm.ingredient.ingredient.code.codeSystemVersion","","","Code System Version",0,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/st-simple|2.0.3-sd]]} {[]}
","","If applicable, a version descriptor defined specifically for the given code system.","","","","","","","","","",,,,,"",,,,"CD.codeSystemVersion",0,1,"",""
"FRCDAMaterialPharm.ingredient.ingredient.code.displayName","FRCDAMaterialPharm.ingredient.ingredient.code.displayName","","","Display Name",0,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/st-simple|2.0.3-sd]]} {[]}
","","A name or title for the code, under which the sending system shows the code value to its users.","","","","","","","","","",,,,,"",,,,"CD.displayName",0,1,"",""
