Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-supplyrequests-xml,2,2,0
Cross.list-byid-tasks,2,0,0
Cross.list-byid-tasks-json,2,1,0
Cross.list-byid-tasks-xml,2,2,0
Cross.list-byid-terminologycapabilities,2,0,0
Cross.list-byid-terminologycapabilities-json,2,1,0
Cross.list-byid-terminologycapabilities-xml,2,1,0
Cross.list-byid-testplans,2,0,0
Cross.list-byid-testplans-json,2,2,0
Cross.list-byid-testplans-xml,2,2,0
Cross.list-byid-testreports,2,0,0
Cross.list-byid-testreports-json,2,1,0
Cross.list-byid-testreports-xml,2,2,0
Cross.list-byid-testscripts,2,0,0
Cross.list-byid-testscripts-json,2,2,0
Cross.list-byid-testscripts-xml,2,2,0
Cross.list-byid-transports,2,0,0
Cross.list-byid-transports-json,2,1,0
Cross.list-byid-transports-xml,2,2,0
Cross.list-byid-valuesets,2,0,2470
Cross.list-byid-valuesets-json,2,0,2520
Cross.list-byid-valuesets-xml,2,2,2510
Cross.list-byid-verificationresults,2,0,0
Cross.list-byid-verificationresults-json,2,0,0
Cross.list-byid-verificationresults-xml,2,1,0
Cross.list-byid-visionprescriptions,2,0,0
Cross.list-byid-visionprescriptions-json,2,1,0
Cross.list-byid-visionprescriptions-xml,2,1,0
Cross.list-canonicalresources,2,0,0
Cross.list-canonicalresources-json,2,2,0
Cross.list-canonicalresources-xml,2,2,0
Cross.list-capabilitystatements,2,1,0
Cross.list-capabilitystatements-json,2,1,0
Cross.list-capabilitystatements-xml,2,2,0
Cross.list-careplans,2,1,0
Cross.list-careplans-json,2,2,0
Cross.list-careplans-xml,2,2,0
Cross.list-careteams,2,0,0
Cross.list-careteams-json,2,1,0
Cross.list-careteams-xml,2,2,0
Cross.list-chargeitemdefinitions,2,0,0
Cross.list-chargeitemdefinitions-json,2,0,0
Cross.list-chargeitemdefinitions-xml,2,2,0
Cross.list-chargeitems,2,0,0
Cross.list-chargeitems-json,2,0,0
Cross.list-chargeitems-xml,2,1,0
Cross.list-citations,2,0,0
Cross.list-citations-json,2,0,0
Cross.list-citations-xml,2,1,0
Cross.list-claimresponses,2,0,0
Cross.list-claimresponses-json,2,1,0
Cross.list-claimresponses-xml,2,1,0
Cross.list-claims,2,0,0
Cross.list-claims-json,2,1,0
Cross.list-claims-xml,2,2,0
Cross.list-clinicalimpressions,2,0,0
Cross.list-clinicalimpressions-json,2,1,0
Cross.list-clinicalimpressions-xml,2,1,0
Cross.list-clinicalusedefinitions,2,0,0
Cross.list-clinicalusedefinitions-json,2,1,0
Cross.list-clinicalusedefinitions-xml,2,2,0
Cross.list-codesystems,2,0,0
Cross.list-codesystems-json,2,1,0
Cross.list-codesystems-xml,2,2,0
Cross.list-communicationrequests,2,0,0
Cross.list-communicationrequests-json,2,2,0
Cross.list-communicationrequests-xml,2,2,0
Cross.list-communications,2,0,0
Cross.list-communications-json,2,2,0
Cross.list-communications-xml,2,2,0
Cross.list-compartmentdefinitions,2,0,0
Cross.list-compartmentdefinitions-json,2,1,0
Cross.list-compartmentdefinitions-xml,2,2,0
Cross.list-compositions,2,0,0
Cross.list-compositions-json,2,0,0
Cross.list-compositions-xml,2,1,0
Cross.list-conceptmaps,2,0,0
Cross.list-conceptmaps-json,2,1,0
Cross.list-conceptmaps-xml,2,1,0
Cross.list-conditiondefinitions,2,0,0
Cross.list-conditiondefinitions-json,2,1,0
Cross.list-conditiondefinitions-xml,2,2,0
Cross.list-conditions,2,0,0
Cross.list-conditions-json,2,1,0
Cross.list-conditions-xml,2,2,0
Cross.list-consents,2,0,0
Cross.list-consents-json,2,0,0
Cross.list-consents-xml,2,0,0
Cross.list-contracts,2,0,0
Cross.list-contracts-json,2,0,0
Cross.list-contracts-xml,2,1,0
Cross.list-coverageeligibilityrequests,2,0,0
Cross.list-coverageeligibilityrequests-json,2,0,0
Cross.list-coverageeligibilityrequests-xml,2,2,0
